부서번호,부서명,사번,이름,날짜,시작시간,종료시간,근무시간,작업내용,비고
10040,제조1팀,1022,장시원,2024-03-31,8:00,10:00,2,자재관리,
10040,제조1팀,1026,엄태영,2024-04-09,23:00,24:00:00,1.5,주변정리,
10040,제조1팀,1027,윤현민,2024-04-22,19:00,20:30,3.5,입고,
10050,제조2팀,1028,유정식,2024-03-17,8:01,10:01,2,재고조사,중국 제품입고
10050,제조2팀,1030,정주환,2024-04-17,23:01,24:01:00,2.2,생산지원,
10050,제조2팀,1031,민세윤,2024-03-22,19:01,20:31,3.8,품질관리,
10060,제조3팀,1032,황인건,2024-04-11,8:02,10:02,1.4,서비스 지원,
10070,제조4팀,1035,이승현,2024-04-01,23:02,24:02:00,5.3,출장,중국
10070,제조4팀,1038,윤병욱,2024-04-02,19:02,20:32,2.5,고객응대,
10010,SCM,1001,강동철,2024-04-02,8:03,10:03,8.2,부스터 추가작업,
10010,SCM,1004,주민규,2024-03-05,23:03,24:03:00,0.5,베이스 관리상태 점검,포장상태 점검
10010,SCM,1010,장규호,2024-03-09,19:03,20:33,0.6,생산라인 수리,
10010,SCM,1011,최정민,2024-03-13,8:04,10:04,0.1,인라인 펌프 생산 잔업,
10010,SCM,1012,주현진,2024-04-25,23:04,24:04:00,2.4,생산라인 수리,
10020,QC,1013,김기완,2024-04-19,19:04,20:34,1.4,자재관리 지원,
10020,QC,1016,공진영,2024-03-27,8:05,10:05,3.6,지게차 수리,제조팀 사용
10030,서비스,1017,정영순,2024-03-01,23:05,24:05:00,2.1,전시회 지원,
10030,서비스,1021,김선태,2024-04-01,19:05,20:35,3,서비스 지원,
